EmployeeID,Age,Gender,MaritalStatus,Department,JobRole,Education,EducationField,MonthlyIncome,YearsAtCompany,OverTime,WorkLifeBalance,JobSatisfaction,EnvironmentSatisfaction,PerformanceRating,DistanceFromHome,BusinessTravel,NumCompaniesWorked,YearsSinceLastPromotion,Attrition
1000,41,Female,Single,Research & Development,Research Scientist,2,Medical,6016,6,Yes,4,1,2,3,8,Travel_Rarely,0,6,No
1001,42,Male,Married,Research & Development,Manufacturing Director,4,Human Resources,11830,0,Yes,4,3,2,3,25,Travel_Rarely,1,12,Yes
1002,34,Female,Married,Research & Development,Manager,1,Other,5680,16,Yes,4,1,3,3,19,Non-Travel,1,1,No
1003,51,Male,Married,Research & Development,Research Scientist,1,Technical Degree,9186,29,No,2,3,3,3,23,Travel_Frequently,1,5,No
1004,32,Female,Divorced,Sales,Sales Representative,3,Other,8398,14,Yes,3,1,1,3,26,Travel_Rarely,4,2,Yes
1005,32,Male,Divorced,Human Resources,Manager,4,Technical Degree,4869,14,Yes,3,2,3,3,24,Travel_Rarely,9,12,Yes
1006,39,Female,Single,Human Resources,Human Resources,1,Life Sciences,1009,9,Yes,4,1,4,3,17,Non-Travel,8,0,No
1007,21,Female,Married,Sales,Manager,3,Life Sciences,4531,3,Yes,4,1,3,4,17,Travel_Rarely,8,3,No
1008,27,Male,Single,Sales,Manager,2,Marketing,7599,9,Yes,3,4,3,3,29,Travel_Frequently,4,7,Yes
1009,28,Male,Divorced,Research & Development,Research Scientist,4,Life Sciences,1556,8,Yes,4,2,4,3,7,Travel_Frequently,3,9,Yes
1010,50,Female,Single,Research & Development,Healthcare Representative,5,Technical Degree,5709,15,Yes,1,3,2,3,19,Non-Travel,1,1,Yes
1011,37,Male,Married,Human Resources,Manager,5,Medical,1513,19,Yes,2,4,4,3,26,Travel_Rarely,1,3,No
1012,32,Female,Divorced,Research & Development,Manufacturing Director,1,Other,6888,6,Yes,4,3,1,3,8,Non-Travel,8,14,Yes
1013,26,Male,Divorced,Sales,Sales Representative,1,Technical Degree,7814,6,Yes,1,1,2,4,6,Travel_Rarely,7,6,No
1014,31,Female,Married,Human Resources,Human Resources,1,Technical Degree,5479,13,No,4,4,3,3,7,Travel_Frequently,9,1,No
1015,31,Female,Single,Sales,Manager,5,Human Resources,12982,3,Yes,2,1,2,3,13,Non-Travel,9,7,Yes
1016,36,Female,Divorced,Sales,Sales Executive,5,Human Resources,2798,18,No,2,3,4,3,5,Travel_Rarely,4,14,Yes
1017,44,Male,Divorced,Research & Development,Research Scientist,4,Human Resources,2227,6,Yes,2,3,3,3,29,Non-Travel,3,11,Yes
1018,38,Female,Divorced,Research & Development,Manager,5,Other,1009,0,No,1,2,1,3,24,Travel_Rarely,4,9,No
1019,25,Female,Married,Research & Development,Laboratory Technician,5,Technical Degree,7189,3,Yes,4,3,3,3,25,Non-Travel,4,5,No
1020,43,Male,Divorced,Research & Development,Manufacturing Director,1,Life Sciences,7099,9,Yes,3,2,1,3,10,Travel_Rarely,0,11,Yes
1021,35,Female,Divorced,Sales,Sales Executive,5,Technical Degree,5446,9,Yes,2,2,1,4,6,Travel_Rarely,5,13,No
1022,23,Female,Single,Research & Development,Laboratory Technician,2,Other,3980,5,Yes,4,2,4,3,12,Travel_Rarely,3,7,Yes
1023,32,Female,Married,Sales,Sales Representative,1,Marketing,10199,14,No,3,1,3,3,6,Travel_Rarely,4,1,Yes
1024,40,Female,Single,Research & Development,Healthcare Representative,5,Human Resources,1009,22,Yes,3,1,1,3,17,Travel_Frequently,8,6,Yes
1025,39,Female,Divorced,Sales,Manager,5,Marketing,5152,7,No,3,4,3,3,18,Non-Travel,6,12,No
1026,30,Female,Married,Human Resources,Manager,5,Life Sciences,8640,12,Yes,4,3,4,3,22,Non-Travel,7,5,No
1027,46,Female,Divorced,Sales,Manager,1,Medical,9759,19,Yes,2,2,2,3,16,Travel_Rarely,1,14,Yes
1028,29,Female,Single,Research & Development,Laboratory Technician,4,Technical Degree,5417,9,Yes,1,4,4,3,2,Travel_Rarely,1,14,Yes
1029,39,Female,Divorced,Research & Development,Manager,4,Human Resources,9914,21,No,4,2,4,3,15,Non-Travel,3,8,No
